Topical Areas,eventType,Number
Arts and Crafts,CLASSES,24
Books and Authors,LITERARY,60
Book Clubs,LITERARY,60
Children,FAMILY FUN,7
Classes and Workshops,CLASSES,24
Computers and Technology,CLASSES,24
Dance,DANCE,13
Exhibits,ARTS,50
Featured,FREE EVENTS,23
Health and Wellness,HEALTH + WELLNESS,30
Movies,FILM,17
Music,MUSIC,3
ESL,NEIGHBORHOODS + NEW AMERICANS,22
Dance and Theater,THEATRE,12
Dance and Theater,DANCE,13
History and Genealogy,HISTORY + HERITAGE,19
Story Time,PRE-K,64
Teens,YOUTH,85
